,name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
10,Korean Spicy Chicken,3303.94,280.38,539.56,1656.06,792.06,3052.38,41.94,718.25,105.19,374.12,53.62,110.88,14077.0,68905.69,115.5,410.12,2709.81,111.94,60.81,140.94,108.69,2148.56,228.38,246.94,24.56,136.56,4.88,55.81,3.56,1.0,3.94,29.5,0.0,753.88,12522.19,125.38,0.06,0.31,19.06,4710.38,6178.25,4852.25,4.38
11,Ayam Telur Asin,9893.75,500.0,2478.0,1166.75,7980.25,8064.25,208.5,164.75,339.75,1408.25,93.5,414.75,341.0,119440.25,290.75,883.5,391.75,411.75,241.25,337.75,54.5,3917.75,1793.0,654.25,96.75,278.25,83.25,191760.75,134.0,133.75,9.5,3.0,10.5,0.0,312.25,93.75,16.25,66.25,12.75,3774.0,423.0,2275.5,341.25
12,Yakitori Ayam,173.51,11.31,43.59,16.06,81.85,237.09,5.49,82.24,6.15,41.89,3.9,7.08,62.26,1762.21,8.35,18.14,287.96,6.72,4.73,5.08,12.69,202.99,33.2,33.09,1.01,1.33,0.26,985.56,718.49,0.11,4.13,348.35,42.96,0.0,255.86,21.05,0.01,0.03,9.14,43.64,26.93,72.75,0.49
13,Koloke Ayam,4156.76,101.2,343.76,64.96,461.36,2153.36,22.84,607.44,32.56,123.92,18.68,59.32,134.68,53390.32,4.16,108.76,438.88,53.8,15.0,84.28,79.88,976.68,20.6,201.88,14.32,8.72,1.84,96948.24,38.72,0.64,7459.08,52251.4,1.88,522.48,6094.84,17.96,0.04,0.2,17.92,121.48,156.84,252.44,2.8
14,Sate Lilit,162.23,14.25,36.09,79.4,62.03,17.08,2.76,28.28,7.07,44.97,4.07,6.57,14602.27,2998.77,7.44,11.55,406.38,10.47,8.7,0.34,0.65,19.2,12.6,32.37,2.08,8.79,1.2,3317.27,1.84,0.11,0.0,0.15,0.0,0.0,0.12,8.54,0.01,0.42,0.6,447.26,210.59,79.63,0.24
15,Chicken Cordon Bleu,15661.0,932.75,3292.25,4465.75,5589.75,10689.25,206.5,462.0,452.75,1425.5,123.5,648.5,623048.25,551177.25,372.75,863.75,3284.5,449.5,502.75,619.5,618.25,698.25,1500.25,909.75,212.5,1390.75,84.5,371864.25,405.5,85.75,944.0,22096.5,2.25,0.0,202140.25,5.25,6.0,24.75,466.0,18375.75,12681.5,4094.0,139.75
16,Sate Ayam Madura,259.22,17.8,45.52,126.87,50.68,137.73,2.41,57.19,4.31,13.62,2.47,6.95,14.89,5176.7,5.57,18.22,54.39,2.88,5.86,0.86,3.86,153.55,29.2,19.7,2.59,10.9,0.21,584.79,3.72,3.48,0.0,2.92,0.0,0.0,0.21,16.16,0.0,0.02,0.68,356.42,564.0,281.25,0.31
17,Ayam Betutu,3198.88,174.56,579.75,363.5,826.69,3713.38,92.06,748.06,177.62,803.94,84.06,112.5,16804.0,25859.88,13.25,336.69,6021.5,79.94,242.0,64.19,12.69,1665.88,268.88,394.75,30.38,6.38,6.94,181574.06,40.44,14.5,3.0,56.44,4.06,1.25,74.19,12.94,0.0,0.0,113.5,875.12,1491.12,787.0,5.62
18,Nugget Ayam,425.61,21.89,7.57,40.58,157.36,39.49,4.18,128.83,8.47,31.13,3.27,13.12,19.55,4496.33,7.83,18.43,76.48,12.83,6.66,16.52,21.94,133.11,57.74,24.36,3.88,7.73,2.08,13237.06,11.66,3.2,664.77,1112.85,0.18,0.01,12863.55,3.76,0.04,1.64,1.65,111.46,145.94,114.39,7.57
19,Ayam Rica-Rica,2456.72,95.48,190.16,484.24,450.52,1220.2,10.04,490.48,26.72,140.6,15.84,34.24,10041.28,8270.32,4.2,65.68,1703.72,41.0,45.32,28.64,28.76,778.56,133.28,170.16,7.12,69.72,1.24,10.08,1.8,1.64,0.0,2.68,0.0,0.0,1.92,6.68,0.08,0.4,6.36,2261.92,1753.24,569.12,3.0
20,Rawon,2911.64,146.8,329.44,720.64,888.16,1953.68,28.44,973.68,53.12,239.12,32.84,64.64,114423.48,41300.64,85.76,11.56,1821.8,77.48,94.08,50.72,64.32,883.56,177.32,152.44,14.04,190.52,31.28,67126.52,16.08,7.68,1.44,23.12,2.08,0.0,523.96,89.92,0.84,3.4,34.96,2867.96,3064.24,758.48,39.16
21,Udang Asam Manis,3915.89,171.0,223.78,100.33,2895.78,1961.67,7.44,1603.11,26.11,57.0,12.11,47.0,128.11,199724.0,7.56,39.56,145.22,34.33,5.33,22.67,6.0,740.33,89.22,79.11,14.11,17.44,1.22,64915.33,103.33,85.33,0.0,106.44,0.0,1340.22,184.33,153.11,0.0,0.0,163.44,2177.89,4727.11,2770.44,1.11
22,Nugget Sayur,243.6,8.22,38.59,7.53,58.14,159.58,2.28,6.31,3.62,14.25,2.3,5.06,9527.19,3172.54,4.46,11.62,80.9,0.66,0.93,1.18,10.96,11.07,21.18,7.85,2.95,0.91,0.35,4220.34,7.18,0.06,400.39,2155.98,0.13,0.11,3886.04,0.23,0.0,0.0,34.27,19.67,20.17,24.61,0.33
23,Ayam Wijen Saus Mentega,2736.72,236.56,498.16,1493.84,914.24,228.68,46.44,57.52,99.44,300.24,38.56,101.28,123.48,40489.96,83.4,341.04,847.44,68.96,67.72,113.68,87.68,993.92,191.92,207.48,18.84,74.56,0.52,31446.64,34.88,30.04,5.04,16.2,0.0,0.0,218.44,98.72,0.52,2.08,67.52,3567.04,6554.92,3893.24,12.36
24,Gyoza,46.6,5.03,7.52,34.96,25.72,40.18,0.19,10.26,0.37,1.48,0.31,0.97,1113.34,330.82,0.57,0.11,3.49,0.76,0.22,1.62,1.32,26.0,0.03,2.54,0.37,1.36,0.07,126.3,0.13,0.04,0.0,0.0,0.0,0.0,0.22,2.45,0.0,0.0,1.65,43.09,173.84,114.69,0.09
25,Orak Arik Telur Sayuran,3618.56,123.69,352.25,798.81,1016.56,1052.56,23.62,237.06,46.75,141.56,18.44,69.06,162.19,26109.88,33.25,104.12,471.44,5.12,173.0,43.19,81.75,550.31,252.62,182.25,18.19,330.12,12.31,164606.62,71.56,13.5,2467.31,36580.31,3.12,0.06,95.81,140.56,1.38,5.5,78.31,1029.75,5215.88,1301.75,25.69
26,Dim Sum Ceker Ayam,189.97,84.53,132.47,635.94,336.64,608.08,8.86,63.11,17.08,88.92,14.03,27.83,6178.67,7485.86,30.86,45.78,1043.14,30.39,53.03,17.92,21.28,607.83,100.08,102.39,2.81,39.58,2.69,42.36,2.78,0.78,1.0,22.78,1.22,385.97,23.81,57.14,0.03,0.06,12.28,1986.56,2381.86,1600.5,2.58
27,Sayur Tempe Tahu Cabe Hijau,1767.88,53.36,182.48,81.44,439.0,1129.24,14.76,470.16,56.36,207.52,11.8,32.2,96.84,5350.32,32.32,71.88,539.96,13.72,49.96,24.28,42.32,257.8,8.2,204.6,11.12,2.72,0.32,1287.4,12.36,0.0,0.0,0.64,0.0,0.0,1.92,0.96,0.0,0.0,0.2,201.24,195.8,286.64,0.0
28,Telur Bumbu Bali,1206.28,44.92,164.69,104.67,460.5,841.64,14.11,191.08,43.75,221.61,16.72,29.78,8531.44,8934.25,35.33,48.53,1359.25,37.44,26.0,26.33,52.64,502.75,102.47,121.17,11.06,13.69,3.31,17421.81,13.14,4.44,0.0,1.31,0.25,0.0,14.64,4.81,0.06,2.28,1.78,331.44,316.58,281.31,10.69
29,Ayam Woku,1675.86,83.5,219.22,397.53,47.03,1127.64,14.94,385.06,43.92,229.33,21.83,33.14,70001.22,11906.47,32.0,55.78,2024.08,35.22,9.44,21.42,46.44,79.42,91.5,177.36,13.19,77.31,1.78,44981.89,15.78,0.67,1.0,15.58,1.11,0.0,204.14,5.11,0.11,0.44,20.08,1724.11,1355.81,605.42,2.14
30,Ayam Goreng Kecap,1659.78,67.5,136.0,34.06,58.72,872.56,13.28,331.44,20.36,114.64,11.69,21.31,4020.33,6569.89,22.94,59.58,112.0,24.39,69.06,14.78,21.36,529.81,75.89,88.83,4.78,26.75,3.08,50435.19,10.19,6.44,1.0,16.36,1.11,0.0,203.03,49.64,0.0,0.0,20.14,1582.94,1233.56,409.14,2.5
31,Ayam Balado,107.75,80.19,146.31,657.39,597.33,578.64,20.67,24.64,52.5,200.78,16.42,28.86,67674.08,7653.22,37.03,61.25,487.81,17.31,34.81,18.94,30.42,462.14,53.5,11.08,9.03,28.22,0.94,3046.69,11.33,0.67,0.0,0.31,0.0,0.0,0.67,89.64,0.11,0.44,5.14,291.06,2587.42,698.17,1.78
32,Ayam Pop,3836.44,180.69,301.44,1380.94,1332.69,127.62,16.0,156.56,42.88,226.62,25.12,54.88,17352.0,19157.25,67.69,107.12,268.69,62.31,68.88,48.0,49.06,1234.56,222.31,266.62,13.81,68.5,6.94,52156.0,19.31,14.5,0.0,2.31,0.0,0.0,3.0,200.75,0.0,0.0,13.62,6612.19,5043.19,1471.31,5.62
33,Siomay Ayam Udang Dimsum,152.56,7.84,35.57,52.94,69.75,45.32,0.52,11.22,1.76,3.77,0.91,4.65,5080.86,4447.26,2.65,3.85,6.36,5.22,0.47,3.1,5.44,63.83,14.11,11.06,0.57,15.12,0.83,1114.25,4.02,0.31,15.45,36.82,0.0,0.0,1.14,2.1,0.01,0.03,1.3,84.3,20.56,21.12,0.93
34,Daging Sapi Paprika Lada Hitam,6046.0,318.33,826.89,1566.22,150.78,4377.44,116.11,1342.33,132.11,76.11,78.11,120.44,86881.0,25024.89,177.22,439.56,5825.78,120.56,122.89,77.33,246.11,3340.56,567.0,444.89,17.22,228.11,30.22,112139.33,5829.22,0.33,69.78,62573.56,4242.89,2.22,90882.67,52.0,0.11,0.44,291.33,7054.0,5423.67,2288.33,9.89
35,Ayam Saus Tiram,1650.47,55.08,212.36,106.64,325.06,1026.81,15.75,326.83,29.17,116.5,18.75,35.89,55934.69,8632.17,39.53,78.75,138.92,34.81,59.64,21.92,27.89,814.31,161.06,118.53,3.33,4.11,5.86,67.5,9.19,7.0,1.33,24.97,1.83,0.56,33.11,0.81,0.11,0.39,50.39,313.03,327.31,264.03,4.42
36,Rendang Daging Sapi (Asli Minang),1122.97,48.39,188.44,152.83,348.5,96.64,41.19,46.69,49416.72,194.19,27.53,34.28,60155.75,13215.5,59.58,81.44,3336.36,38.03,18.75,23.81,32.58,614.69,76.19,91.81,4.53,5.67,0.53,14.31,0.78,0.08,0.03,5.17,6.44,0.42,6.83,32.19,0.03,0.11,49.42,426.5,658.92,210.72,2.47
37,Rendang Ayam,1006.42,136.19,273.56,66.75,38.78,2094.22,6.39,452.14,88444.5,395.58,47.14,57.47,93953.64,26326.61,77.11,16.42,4621.22,41.86,61.69,38.17,57.83,798.11,113.17,179.33,15.36,42.03,3.08,53144.03,16.61,6.44,0.03,5.94,8.28,0.42,6.83,76.64,0.0,0.0,51.28,3431.97,1845.69,694.78,2.5
38,Sate Padang,1812.53,149.67,504.19,510.22,199.75,2792.81,101.44,10.58,181194.5,897.83,79.61,106.06,121218.03,26.17,159.89,270.36,598.75,59.56,129.83,82.31,100.11,1192.47,160.19,293.11,23.31,9.67,0.67,6765.67,22.33,0.0,1.03,42.33,9.39,0.42,39.19,113.5,0.11,0.44,82.83,1532.14,1898.25,717.94,2.58
39,Ekkado,217.67,16.99,45.1,119.51,71.1,122.38,2.29,55.16,4.76,1.2,2.08,6.33,9.23,4687.26,4.09,1.22,42.65,6.48,5.19,4.32,9.97,6.93,21.51,11.02,1.43,25.04,1.53,3966.01,2.0,1.0,0.0,207.16,0.34,0.0,3.15,0.92,0.07,0.28,10.6,437.06,40.7,263.69,4.68
40,Cumi Goreng Tepung (Calamari),2229.31,78.06,36.19,118.38,1384.81,1493.94,2.06,127.25,46554.75,231.19,15.94,51324.44,79.0,9202.06,29.75,209.62,43.19,59.81,54.44,79.0,95.5,783.56,148.19,97.94,15.25,13.62,1.0,5.88,0.75,0.62,0.0,2.19,0.0,0.0,1.19,12.38,0.0,0.0,1.62,290.75,397.44,393.94,15.38
41,Bakso Ikan,58.88,1.38,8.07,0.46,16.67,27.09,0.42,16.08,0.49,2.51,0.23,0.84,1.24,436.41,0.28,1.65,7.08,0.21,0.03,0.03,1.15,35.82,0.84,1.83,0.03,0.13,0.39,0.1,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.13,0.0,1.33,1.48,1.27,0.08
42,Salmon Teriyaki,5850.5,372.5,671.25,2612.25,306.75,3099.0,1.25,2889.75,11.75,55.5,24.0,107.25,177.5,20458.25,14.5,49.25,8.25,83.0,7.5,33.75,52.25,2351.75,338.25,187.25,5.5,300.5,103.75,41.75,9.25,8.75,0.0,7.5,0.0,0.0,0.0,110.75,27.25,108.75,64.25,20579.5,3189.0,608.5,11.5
43,Ikan Kerapu Asam Manis,18875.5,541.75,981.0,2659.75,2921.5,708.25,37.0,3313.5,97.75,219.0,55.5,185.5,549.75,274122.75,106.5,269.0,775.75,184.75,252.0,178.5,15.25,1768.0,659.75,63.25,45.75,208.25,25.25,237040.75,60.0,10.75,15.75,112.5,0.0,3015.5,46063.75,476.5,0.0,0.0,15.25,12584.25,9593.0,3004.5,9.25
44,Cumi Goreng Mentega,5139.0,3456.0,5301.0,19373.0,12418.0,40934.0,524.0,13209.0,732.0,401.0,493.0,1105.0,166832.0,1696491.0,99.0,4145.0,40155.0,1407.0,992.0,631.0,1283.0,17815.0,265.0,2722.0,112.0,198.0,188.0,867499.0,735.0,681.0,63.0,625.0,0.0,12062.0,182355.0,572.0,83.0,332.0,138.0,85582.0,57375.0,39134.0,1158.0
45,Es Kelapa Muda,2603.67,43.78,4.33,374.78,1.89,293.0,10.33,140.78,3.0,28.22,4.89,14.0,69.33,5.22,13.0,51.0,192.56,11.33,57.67,1.33,3.89,70.11,47.89,0.11,5.11,1.89,0.0,0.67,0.0,0.0,0.0,0.11,0.44,0.0,1.67,4.33,0.0,0.0,0.22,3304.22,159.0,43.0,0.0
46,Es Buah,44.51,5.83,2.18,0.87,0.17,150.16,0.48,141.84,0.57,1.05,0.49,0.39,7.12,0.34,0.35,2.36,17.16,0.21,13.07,2.32,1.47,15.75,5.83,3.48,0.78,0.26,0.0,11.58,0.58,0.0,0.03,3.98,5.89,18.28,1.88,0.53,0.0,0.0,2.08,2.42,1.02,2.59,0.0
47,Es Kopyor,250.25,0.0,0.0,0.0,249.75,0.0,0.0,0.0,6.75,8.25,0.5,0.0,2.0,10689.5,2.75,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Jus Alpukat,218.75,91.25,54.25,0.0,0.0,2227.0,0.0,201.75,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Dalgona Milo,28773.0,449.0,321.0,331.0,89.0,10486.0,0.0,10468.0,122.0,8.0,12.0,85.0,137.0,114.0,41.0,52.0,8.0,43.0,0.0,47.0,191.0,9.0,38.0,36.0,5.0,15.0,46.0,165.0,47.0,46.0,0.0,7.0,0.0,0.0,0.0,7.0,13.0,52.0,3.0,1899.0,827.0,198.0,11.0
50,Es Boba Brown Sugar,4306.78,6.89,35.67,36.78,10.89,54.22,0.0,54.22,13.78,0.33,1.44,9.44,15.0,13.0,4.56,6.11,0.44,4.11,0.0,5.22,19.11,1.0,4.22,4.0,0.56,1.67,5.11,18.33,5.22,5.11,0.0,0.78,0.0,0.0,0.0,0.78,1.44,5.78,0.33,211.0,91.89,22.0,1.22
51,Nasi Bebek,2511.0,202.44,502.31,1243.25,828.81,2414.75,6.38,90.69,188.75,1064.94,88.56,118.38,138131.19,33859.88,144.94,249.69,5150.81,77.62,125.81,97.44,12.19,1608.06,147.75,353.81,26.31,82.06,1.56,47153.44,28.25,3.12,0.0,49.44,0.0,0.0,29.5,125.56,0.44,1.62,13.88,4483.44,5371.06,1572.06,4.75
52,Kebab,4016.68,168.08,307.96,1006.6,1199.48,187.12,35.32,67.48,48555.04,410.48,26.12,55927.64,10037.0,86640.76,72.16,1.4,1262.36,41.24,47.0,72.76,76.88,862.96,195.48,124.36,17.56,122.24,0.96,34830.44,26.92,2.04,12.68,15832.56,16.6,482.48,967.44,263.04,0.56,2.24,167.0,1686.44,6657.12,1294.92,4.0
53,Nasi Jinggo,10981.89,506.0,1867.0,2154.33,3220.33,7280.89,175.0,1109.22,343.11,194.89,179.33,348.33,695007.89,117154.56,359.22,826.78,9441.56,222.11,604.78,184.89,347.56,3868.67,738.67,1011.56,73.56,48.22,16.56,295798.33,53.89,5.89,8.0,121.22,8.89,0.0,179.11,88.78,0.56,2.11,54.56,12330.33,4643.78,2562.67,22.67
54,Salmon Mentai,12400.75,591.0,1211.25,4736.0,809.75,337.75,44.5,1065.5,339.75,575.75,163.5,284.25,416.75,524975.75,292.0,1149.0,896.25,169.75,38.0,275.75,269.5,4143.75,694.0,513.75,123.0,400.5,103.75,268193.25,53.0,8.75,76.5,115579.75,95.75,3015.5,40534.0,239.75,27.25,108.75,760.25,6868.75,15004.5,16104.75,20.25
55,Nasi Bakar Ikan Cakalang,3996.5,190.31,302.69,127.44,1313.25,1831.31,0.81,767.75,41.44,159.5,17.25,57.88,230.19,12469.75,59.69,102.25,95.19,4.38,142.69,48.19,4.69,1325.75,155.81,293.62,16.31,49.62,1.19,65.12,4.0,1.0,2.25,34.75,2.5,0.0,47.31,53.44,0.0,0.0,42.75,1023.88,1448.25,29.19,2.94
56,Salad Sayur,12130.25,588.25,510.25,4555.5,2702.0,4971.0,76.75,2201.75,184.0,374.0,61.25,108.0,295082.25,144689.5,85.5,479.0,3748.0,56.75,630.25,114.75,128.75,8.5,686.0,474.75,36.25,140.75,0.0,220328.0,52.25,0.0,5.0,124496.75,10.75,5.0,121805.75,692.25,0.0,0.0,901.0,6538.5,22938.75,14363.0,0.0
57,Kangkung Belacan,10326.5,477.25,611.5,2746.25,397.0,5919.5,88.75,2371.75,293.75,1220.5,66.0,107.5,489.0,44183.25,14.5,275.5,2632.75,61.25,711.25,95.25,215.25,1630.75,311.0,984.5,78.0,123.0,10.25,244371.25,168.0,0.0,9.0,135.5,10.0,0.0,183.25,456.75,0.0,0.0,219.5,2314.5,18624.0,4667.0,0.0
58,Sate Taichan,3815.31,98.75,447.94,151.5,1642.88,2000.31,37.94,825.44,88.19,161.31,31.75,61.88,122853.62,16524.44,33.88,211.0,1751.38,48.62,74.12,50.12,7.56,1013.62,409.06,204.06,10.81,16.81,3.19,82031.0,9.12,0.56,2.0,44.94,4.25,2.5,59.25,23.06,0.0,0.06,211.44,434.44,475.56,459.06,5.38
59,Sate Kambing,201.45,3.08,22.49,8.42,13.73,52.55,2.05,5.14,3.78,10.12,1.74,3.53,5486.49,73.84,3.69,8.2,44.83,2.18,4.32,2.37,3.31,49.41,1.18,7.3,0.45,0.62,1.11,2376.24,0.3,0.0,0.16,1.25,0.18,0.05,1.38,0.66,0.0,0.0,7.26,19.48,47.28,1.05,0.27
60,Nagasari,12.71,2.8,1.08,1.63,0.16,33.8,0.08,18.23,0.06,0.21,0.11,0.2,0.88,71.61,0.17,0.37,2.09,0.28,0.17,0.29,0.15,5.35,1.68,1.08,0.05,0.31,0.0,1.45,0.07,0.0,0.56,0.59,0.0,0.0,0.04,2.59,0.0,0.0,0.14,79.61,59.93,15.54,0.0
61,Bakpao,50.37,21.25,56.77,65.81,148.14,337.94,0.95,14.4,15773.36,20.83,2.08,7339.71,12.69,1429.15,0.49,8.95,29.08,5.83,2.46,14.84,12.31,194.46,20.57,16.37,2.96,1.55,0.82,2170.13,4.99,4.83,0.44,1.83,0.0,0.0,391.35,2.3,0.01,0.04,0.71,382.72,168.88,51.0,2.08
