name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Yakitori Ayam,24986,1629,6277,2313,11787,34141,791,11843,885,6032,561,1019,8966,253758,1203,2612,41466,968,681,731,1827,29231,4781,4765,146,192,37,141921,103463,16,595,50162,6186,0,36844,3031,1,5,1316,6284,3878,10476,70
Koloke Ayam,103919,2530,8594,1624,11534,53834,571,15186,814,3098,467,1483,3367,1334758,104,2719,10972,1345,375,2107,1997,24417,515,5047,358,218,46,2423706,968,16,186477,1306285,47,13062,152371,449,1,5,448,3037,3921,6311,70
Sate Lilit,31797,2793,7073,15562,12157,3348,541,5543,1385,8815,797,1287,2862044,587758,1459,2263,79651,2053,1705,66,128,3763,2469,6345,408,1723,235,650185,360,22,0,29,0,0,24,1674,2,82,117,87663,41275,15607,47
Chicken Cordon Bleu,62644,3731,13169,17863,22359,42757,826,1848,1811,5702,494,2594,2492193,2204709,1491,3455,13138,1798,2011,2478,2473,2793,6001,3639,850,5563,338,1487457,1622,343,3776,88386,9,0,808561,21,24,99,1864,73503,50726,16376,559
Sate Ayam Madura,58325,4006,10243,28545,11403,30989,542,12867,969,3064,556,1564,3351,1164758,1253,4099,12237,648,1319,193,869,34548,6571,4433,582,2453,47,131577,837,784,0,656,0,0,48,3637,1,5,154,80194,126899,63281,70
Ayam Betutu,51182,2793,9276,5816,13227,59414,1473,11969,2842,12863,1345,1800,268864,413758,212,5387,96344,1279,3872,1027,203,26654,4302,6316,486,102,111,2905185,647,232,48,903,65,20,1187,207,0,0,1816,14002,23858,12592,90
Nugget Ayam,42561,2189,757,4058,15736,3949,418,12883,847,3113,327,1312,1955,449633,783,1843,7648,1283,666,1652,2194,13311,5774,2436,388,773,208,1323706,1166,320,66477,111285,18,1,1286355,376,4,164,165,11146,14594,11439,757
Ayam Rica-Rica,61418,2387,4754,12106,11263,30505,251,12262,668,3515,396,856,251032,206758,105,1642,42593,1025,1133,716,719,19464,3332,4254,178,1743,31,252,45,41,0,67,0,0,48,167,2,10,159,56548,43831,14228,75
Rawon,72791,3670,8236,18016,22204,48842,711,24342,1328,5978,821,1616,2860587,1032516,2144,289,45545,1937,2352,1268,1608,22089,4433,3811,351,4763,782,1678163,402,192,36,578,52,0,13099,2248,21,85,874,71699,76606,18962,979
Udang Asam Manis,35243,1539,2014,903,26062,17655,67,14428,235,513,109,423,1153,1797516,68,356,1307,309,48,204,54,6663,803,712,127,157,11,584238,930,768,0,958,0,12062,1659,1378,0,0,1471,19601,42544,24934,10
Nugget Sayur,47745,1611,7564,1475,11395,31277,447,1236,710,2793,451,991,1867329,621818,875,2278,15856,130,183,232,2149,2169,4151,1539,578,178,69,827187,1408,11,78477,422573,25,21,761663,46,0,0,6717,3856,3954,4824,65
Ayam Wijen Saus Mentega,68418,5914,12454,37346,22856,5717,1161,1438,2486,7506,964,2532,3087,1012249,2085,8526,21186,1724,1693,2842,2192,24848,4798,5187,471,1864,13,786166,872,751,126,405,0,0,5461,2468,13,52,1688,89176,163873,97331,309
Gyoza,41939,4531,6771,31467,23147,36163,174,9235,336,1329,283,875,1002002,297742,514,103,3137,684,197,1456,1192,23396,27,2289,332,1226,67,113667,117,34,0,1,0,0,199,2204,0,0,1489,38778,156452,103223,83
Orak Arik Telur Sayuran,57897,1979,5636,12781,16265,16841,378,3793,748,2265,295,1105,2595,417758,532,1666,7543,82,2768,691,1308,8805,4042,2916,291,5282,197,2633706,1145,216,39477,585285,50,1,1533,2249,22,88,1253,16476,83454,20828,411
Dim Sum Ceker Ayam,6839,3043,4769,22894,12119,21891,319,2272,615,3201,505,1002,222432,269491,1111,1648,37553,1094,1909,645,766,21882,3603,3686,101,1425,97,1525,100,28,36,820,44,13895,857,2057,1,2,442,71516,85747,57618,93
Sayur Tempe Tahu Cabe Hijau,44197,1334,4562,2036,10975,28231,369,11754,1409,5188,295,805,2421,133758,808,1797,13499,343,1249,607,1058,6445,205,5115,278,68,8,32185,309,0,0,16,0,0,48,24,0,0,5,5031,4895,7166,0
Telur Bumbu Bali,43426,1617,5929,3768,16578,30299,508,6879,1575,7978,602,1072,307132,321633,1272,1747,48933,1348,936,948,1895,18099,3689,4362,398,493,119,627185,473,160,0,47,9,0,527,173,2,82,64,11932,11397,10127,385
Ayam Woku,60331,3006,7892,14311,1693,40595,538,13862,1581,8256,786,1193,2520044,428633,1152,2008,72867,1268,340,771,1672,2859,3294,6385,475,2783,64,1619348,568,24,36,561,40,0,7349,184,4,16,723,62068,48809,21795,77
Ayam Goreng Kecap,59752,2430,4896,1226,2114,31412,478,11932,733,4127,421,767,144732,236516,826,2145,4032,878,2486,532,769,19073,2732,3198,172,963,111,1815667,367,232,36,589,40,0,7309,1787,0,0,725,56986,44408,14729,90
Ayam Balado,3879,2887,5267,23666,21504,20831,744,887,1890,7228,591,1039,2436267,275516,1333,2205,17561,623,1253,682,1095,16637,1926,399,325,1016,34,109681,408,24,0,11,0,0,24,3227,4,16,185,10478,93147,25134,64
Ayam Pop,61383,2891,4823,22095,21323,2042,256,2505,686,3626,402,878,277632,306516,1083,1714,4299,997,1102,768,785,19753,3557,4266,221,1096,111,834496,309,232,0,37,0,0,48,3212,0,0,218,105795,80691,23541,90
Siomay Ayam Udang Dimsum,34325,1765,8004,11911,15694,10196,118,2524,396,849,204,1047,1143193,1000633,596,866,1431,1174,105,698,1225,14361,3174,2488,128,3402,187,250706,905,70,3477,8285,0,1,256,472,2,7,293,18967,4627,4752,209
Daging Sapi Paprika Lada Hitam,54414,2865,7442,14096,1357,39397,1045,12081,1189,685,703,1084,781929,225224,1595,3956,52432,1085,1106,696,2215,30065,5103,4004,155,2053,272,1009254,52463,3,628,563162,38186,20,817944,468,1,4,2622,63486,48813,20595,89
Ayam Saus Tiram,59417,1983,7645,3839,11702,36965,567,11766,1050,4194,675,1292,2013649,310758,1423,2835,5001,1253,2147,789,1004,29315,5798,4267,120,148,211,2430,331,252,48,899,66,20,1192,29,4,14,1814,11269,11783,9505,159
Rendang Daging Sapi (Asli Minang),40427,1742,6784,5502,12546,3479,1483,1681,1779002,6991,991,1234,2165607,475758,2145,2932,120109,1369,675,857,1173,22129,2743,3305,163,204,19,515,28,3,1,186,232,15,246,1159,1,4,1779,15354,23721,7586,89
