No,Nama,URL Asli,Likes,Done,Worker,Explanation
91,Sate Maranggi,https://resepkoki.id/resep/resep-sate-maranggi/,1162,No,,
92,Ayam Wijen Saus Mentega,https://resepkoki.id/resep/resep-ayam-wijen-saus-mentega/,1171,Yes,Ling,
93,Babat Gongso,https://resepkoki.id/resep/resep-babat-gongso/,1152,No,,
94,Paru Goreng,https://resepkoki.id/resep/resep-paru-goreng/,1103,No,,
95,Ayam Penyet,https://resepkoki.id/resep/resep-ayam-penyet/,1715,Yes,Christina,
96,Dim Sum Ceker Ayam,https://resepkoki.id/resep/resep-dim-sum-ceker-ayam/,1616,Yes,Saras,
97,Sate Kambing,https://resepkoki.id/resep/resep-sate-kambing/,1690,Yes,Christina,
98,Bulgogi,https://resepkoki.id/resep/resep-bulgogi/,1469,No,,
99,Ayam Goreng Tulang Lunak,https://resepkoki.id/resep/resep-ayam-goreng-tulang-lunak/,1513,No,,
100,Ayam Goreng Kalasan,https://resepkoki.id/resep/resep-ayam-goreng-kalasan/,1554,No,,
101,Ayam Bakar Kecap,https://resepkoki.id/resep/resep-ayam-bakar-kecap/,1627,No,,
102,Ayam Bakar Bumbu Bali,https://resepkoki.id/resep/resep-ayam-bakar-bumbu-bali/,1640,No,,
103,Ayam Sambal Matah,https://resepkoki.id/resep/resep-ayam-sambal-matah/,1571,No,,
104,Galantin Ayam,https://resepkoki.id/resep/resep-galantin-ayam/,1641,No,,
105,Ayam Lada Hitam,https://resepkoki.id/resep/resep-ayam-lada-hitam/,1624,No,,
106,Ayam Bakar Bumbu Kuning,https://resepkoki.id/resep/resep-ayam-bakar-bumbu-kuning/,1634,No,,
107,Pindang Tulang Iga,https://resepkoki.id/resep/resep-pindang-tulang-iga/,1586,No,,
108,Ayam Bakar Padang,https://resepkoki.id/resep/resep-ayam-bakar-padang/,1647,No,,
109,Bakso Ayam,https://resepkoki.id/resep/resep-bakso-ayam/,1866,No,,
110,Bebek Goreng Surabaya,https://resepkoki.id/resep/resep-bebek-goreng-surabaya/,1721,No,,
111,Ayam Goreng KFC Krispi,https://resepkoki.id/resep/resep-ayam-goreng-kfc-krispi/,1706,No,,
112,Ayam Gongso,https://resepkoki.id/resep/resep-ayam-gongso/,1064,No,,
113,Spicy Chicken Wings (Richeese),https://resepkoki.id/resep/resep-spicy-chicken-wings-richeese/,1105,No,,
114,Ayam Kremes,https://resepkoki.id/resep/resep-ayam-kremes/,1415,No,,
115,Ayam Kungpao,https://resepkoki.id/resep/resep-ayam-kungpao/,1448,No,,
116,Usus Ayam Tumis Pedas Manis,https://resepkoki.id/resep/resep-usus-ayam-tumis-pedas-manis/,1454,No,,
117,Ayam Kemangi,https://resepkoki.id/resep/resep-ayam-kemangi/,1450,No,,
118,Ayam Pok Pok,https://resepkoki.id/resep/resep-ayam-pok-pok/,1455,No,,
119,Ayam Geprek,https://resepkoki.id/resep/resep-ayam-geprek/,1418,No,,
120,Rendang Daging Sapi Padang,https://resepkoki.id/resep/resep-rendang-daging-sapi-padang/,1652,No,,
121,Ayam Geprek Jogja,https://resepkoki.id/resep/resep-ayam-geprek-jogja/,1491,No,,
122,Semur Hati Ampela Ayam,https://resepkoki.id/resep/resep-semur-hati-ampela-ayam/,1225,No,,
123,Opor Ayam Putih,https://resepkoki.id/resep/resep-opor-ayam-putih/,1350,No,,
